내사람,사랑안해,여인의 향기,남자를 몰라,LOVE ALL,Hold The Line,까만안경,그 남자 그 여자,하기 힘든 말,거리에서,미인,이럴거면,유혹의 소나타,미워요,잔소리,Love Love Love,안녕,흰눈,추억은 사랑을 닮아,사랑…후에,So Hot,하루 하루,Love,Nobody,서커스,마지막인사,사랑과 전쟁,U-Go-Girl,천국,가지마 가지마,Gee,I Don't Care,Abracadabra,HeartBreaker,Again&Again,심장이 없어,사랑비,Fire,쏘리 쏘리,Lollipop,Bad Girl Good Girl,잔소리,죽을 만큼 아파서,못해,죽어도 못 보내,Oh!,2 Different Tears,너 때문에 미쳐,밥만 잘 먹더라,Go Away,Roly-Poly,바람났어,내가 제일 잘 나가,비가 오는 날엔,TV를 껐네…,So Cool,UGLY,좋은 날,살다가 한번쯤,안녕이라고 말하지마,강남스타일,나혼자,벚꽃 엔딩,Loving U,FANTASTIC BABY,I Love  You,정말로 사랑한다면,Heaven,하루 끝,첫사랑,자니,눈물,NoNoNo,눈물샤워,?(물음표),Give It To Me,이름이 뭐예요?,모노드라마,My Love,있다 없으니까,썸,야생화,눈 코 입,금요일에 만나요,한여름밤의 꿀,봄 사랑 벚꽃 말고,Mr.Chu,너의 의미,Something,200%,뱅뱅뱅,같은 시간 속의 너,꺼내 먹어요,이럴거면 그러지말지,위잉위잉,LOSER,BAE BAE,그냥,양화대교,우연히 봄
SG워너비,백지영,씨야,버즈,Gavy nj,조PD,이루,바이브,이승기,성시경,이기찬,아이비,아이비,씨야,더 넛츠,에픽하이,KCM,이루,박효신,신혜성,원더걸스,빅뱅,브라운아이드걸스,원더걸스,MC몽,빅뱅,다비치,이효리,빅뱅,브라운아이즈,소녀시대,2NE1,브라운아이드걸스,G-Dragon,2:00 PM,에이트,김태우,2NE1,슈퍼주니어,빅뱅& 2NE1,MissA,아이유,MC몽,포맨,2:00 AM,소녀시대,원더걸스,티아라,Homme,2NE1,티아라,GG,2NE1,비스트,리쌍,씨스타,2NE1,아이유,포맨,다비치,싸이,씨스타,버스커 버스커,씨스타,빅뱅,2NE1,버스커 버스커,에일리,아이유,버스커 버스커,프라이머리,리쌍,에이핑크,배치기,프라이머리,씨스타,포미닛,허각,이승철,씨스타19,소유,박효신,태양,아이유,San E,아이유,에이핑크,아이유,걸스데이,악동뮤지션,빅뱅,나얼,자이언티,백아연,혁오,빅뱅,빅뱅,자이언티,자이언티,로꼬
Partner For Life,I Won't Love,Scent Of a Woman,Don’t Know Men,Love All,Hold The Line,Black Glasses,The Man The Woman,Words That Are Hard To Say,On The Street,Beautiful Woman,If You're Gonna Be Like This,Sonata Of Temptation,Hateful,Nagging,Love Love Love,GoodBye,White Snow,Memories Resemble Love,After Love,So Hot,Haru Haru,Love,Nobody,Circus,Last Farewell,War and love,U-Go-Girl,Heaven,Don't Go Don't Go,Gee,I Don't Care,Abracadabra,HeartBreaker,Again&Again,Without a Heart,Love Rain,Fire,Sorry Sorry,Lollipop,Bad Girl Good Girl,Nagging,Sick To Death,Can't Do,Never Let You Go,Oh!,2 Different Tears,I Go Crazy Because of You,I Was Able To Eat Well,Go Away,Roly-Poly,Having an Affair,I Am The Best,On Rainy Days,Turned Off The TV…,So Cool,UGLY,Good Day,To Live At Least Once,Don't Say Goodbye,Gangnam Style,Alone,Cherry Blossom Ending,Loving U,FANTASTIC BABY,I Love  You,If You Really Love Me,Heaven,Every End Of The Day,First Love,Johnny,Tears,NoNoNo,Shower of Tears,?(Question Mark),Give It To Me,What's Your Name?,Monodrama,My Love,Gone Not Aroud Any Longer,Some,Wild Flower,Eyes nose Lips,Friday,A Midsummer Night's Sweetness,Not Spring or Love or Cherry Blossoms,Mr.Chu,Meaning Of You,Something,200%,Bang Bang Bang,Living In The Same Time,Eat,Shouldn't Have…,Wi Ing Wi Ing,LOSER,BAE BAE,Just,Yanghwa Bridge,Spring Is Gone By Chance
SG Wanna Be,Baek Ji-Young,Seeya,Buzz,Gavy nj,Cho PD,Eru,Vibe,Lee Seung-Gi,Sung Si-Kyung,Lee Ki-Chan,Ivy,Ivy,Seeya,The Nuts,Epic High,KCM,Eru,Park Hyo-Shin,Shin Hye-Sung,Wonder Girls,Big Bang,Brown Eyed Girls,Wonder Girls,MC Mong,Big Bang,Davichi,Lee Hyo-Ri,Big Bang,Brown Eyed Girls,Girl's Generation,2NE1,Brown Eyed Girls,G-Dragon,2:00 PM,8Eight,Kim Tae-Woo,2NE1,Super Junior,Big Bang & 2NE1,MissA,IU,MC Mong,4Men,2:00 AM,Girl's Generation,Wonder Girls,T-Ara,Homme,2NE1,T-Ara,GG,2NE1,Beast,LeeSSang,Sistar,2NE1,IU,4Men,Davichi,Psy,Sistar,Busker Busker,Sistar,Big Bang,2NE1,Busker Busker,Ailee,IU,Busker Busker,Primary,LeeSSang,Apink,BaeChigi,Primary,Sistar,4Minute,Huh Gak,Lee Seung-Chul,Sistar19,Soyou,Park Hyo-Shin,TaeYang,IU,San E,IU,Apink,IU,Girl's Day,AKMU,Big Bang,Naul,Zion.T,Baek A-Yeon,Hyuk Oh,Big Bang,Big Bang,Zion.T,Zion.T,Loco
20060408,20060818,20060224,20060424,20060609,20060530,20061009,20060227,20060203,20061010,20070202,20070212,20070212,20070129,20061218,20070123,20070109,20061009,20070129,20061220,20080603,20080808,20080117,20080922,20080417,20071122,20080703,20080714,20080808,20080617,20090105,20090708,20090721,20090818,20091110,20090303,20090903,20090506,20090312,20090327,20100701,20100603,20100624,20100118,20100121,20100128,20100516,20100223,20100728,20100909,20110629,20110702,20110624,20110512,20110816,20110809,20110728,20101209,20110607,20110809,20120715,20120412,20120329,20120628,20120229,20120705,20120621,20120209,20120511,20120329,20120307,20130125,20130705,20130114,20121031,20130611,20130426,20130205,20130618,20130131,20140207,20140328,20140603,20131220,20140612,20140408,20140331,20140516,20140103,20140407,20150601,20150205,20150519,20150520,20140918,20150501,20150501,20150202,20140922,20150408
R&B,발라드,발라드,락,발라드,힙합,발라드,발라드,발라드,발라드,발라드,발라드,댄스,발라드,R&B,힙합,발라드,발라드,발라드,발라드,댄스,힙합,댄스,댄스,힙합,힙합,댄스,댄스,힙합,발라드,댄스,댄스,댄스,댄스,댄스,발라드,발라드,댄스,댄스,댄스,댄스,발라드,힙합,발라드,발라드,댄스,댄스,댄스,발라드,댄스,댄스,댄스,댄스,발라드,힙합,댄스,댄스,발라드,발라드,발라드,힙합,댄스,락,댄스,댄스,댄스,락,발라드,발라드,락,힙합,힙합,댄스,힙합,힙합,댄스,댄스,발라드,발라드,댄스,R&B,발라드,R&B,발라드,힙합,발라드,댄스,발라드,댄스,포크,힙합,R&B,R&B,발라드,락,힙합,힙합,R&B,R&B,발라드
3.303807947,-5.674744898,-4.329809725,-0.176470588,-2.837053571,-2.88030303,-3.334834835,-4.349085366,-9.3,-1.523206751,-9.39516129,-5.670854271,-2.434679335,-6.07712766,-3.477631579,2.923753666,0.816176471,-6.295031056,-7.531835206,-7.06625,-0.374179431,1.303984576,3.286265432,0.127862595,-0.490712074,-6.851445087,-1.200171821,0.223538705,-1.63594041,-1.297916667,4.25216763,-0.437990581,-2.296992481,6.399488927,0.708103131,1.846889952,-9.620517928,-3.365831843,-2.579694323,2.734729494,-3.24339207,-5.199137931,1.193342776,-5.06345733,-3.948648649,3.515473888,0.411468813,-3.609942639,2.052401747,-4.425266904,-1.898876404,-0.871747212,0.419947507,-0.66146789,-2.361842105,1.034364261,-1.371121718,-5.643776824,-1.665137615,-7.694936709,-0.579922027,6.539404553,-1.404867257,-3.921617162,-3.595870206,-3.727685325,-7.684584178,-1.088403042,2.815565032,-7.751958225,-2.853996737,-3.103472222,1.855750487,7.347262248,-0.644214162,-0.217142857,-0.311232449,-5.44143167,-1.757452575,-0.087598425,-1.608333333,-2.078947368,-2.440619621,-3.675837321,1.757718121,4.865241636,-3.510660981,-1.34202454,2.219769674,-8.052833078,-7.801691729,-5.24471831,-3.262195122,-3.239726027,-2.243859649,-1.479831933,-0.06763285,0.765886288,0.469107551,-1.442553191
1.803807947,-4.674744898,-4.329809725,-0.676470588,-2.837053571,-2.88030303,-3.334834835,-4.349085366,-9.3,-1.523206751,-6.39516129,-5.670854271,-2.434679335,-6.07712766,-3.477631579,3.923753666,0.816176471,-1.295031056,-4.531835206,-5.56625,-0.374179431,-4.196015424,3.286265432,0.127862595,1.509287926,-6.851445087,-0.200171821,0.223538705,-1.63594041,-1.297916667,5.25216763,-0.437990581,-2.296992481,7.899488927,-0.291896869,3.346889952,-2.620517928,-3.365831843,-2.579694323,1.234729494,-3.24339207,-4.699137931,1.193342776,-5.06345733,-3.948648649,3.515473888,1.411468813,-6.109942639,2.052401747,-4.425266904,1.101123596,-0.871747212,0.919947507,-0.66146789,4.638157895,1.034364261,-1.371121718,-5.643776824,-2.165137615,-7.694936709,-0.579922027,6.039404553,-0.404867257,-9.421617162,-3.595870206,-2.227685325,-6.684584178,-1.088403042,0.815565032,-7.751958225,-2.853996737,-3.103472222,0.855750487,7.347262248,-0.644214162,-0.217142857,-3.311232449,-4.44143167,-1.757452575,2.412401575,-3.108333333,-2.578947368,-2.440619621,-3.675837321,1.757718121,4.365241636,-2.010660981,1.15797546,0.719769674,-8.052833078,-6.301691729,-5.24471831,-4.762195122,-2.239726027,-1.243859649,-6.979831933,-0.06763285,2.265886288,0.969107551,1.557446809
3.303807947,-3.674744898,-5.329809725,-2.176470588,-2.837053571,-2.88030303,-3.334834835,-4.349085366,-6.3,-1.523206751,-5.39516129,-5.670854271,-2.434679335,-6.07712766,-3.477631579,4.423753666,0.816176471,-3.295031056,-3.031835206,-4.56625,-0.374179431,-1.196015424,3.286265432,2.127862595,2.509287926,-6.851445087,0.299828179,0.223538705,-2.63594041,-1.297916667,4.25216763,1.062009419,-2.296992481,8.899488927,-0.291896869,4.346889952,-2.620517928,-3.365831843,-2.579694323,2.734729494,-3.24339207,-3.199137931,5.693342776,-5.56345733,-3.948648649,3.515473888,3.411468813,-3.609942639,0.552401747,-3.925266904,1.101123596,-0.871747212,-0.580052493,-0.66146789,4.638157895,0.034364261,-1.371121718,-5.643776824,-1.665137615,-5.194936709,-0.579922027,4.539404553,-0.404867257,-3.921617162,-3.595870206,-2.227685325,-3.684584178,-1.088403042,2.815565032,-6.751958225,-2.853996737,-3.103472222,-0.144249513,7.347262248,-0.644214162,-0.717142857,-3.311232449,-2.44143167,-1.257452575,0.912401575,-1.608333333,-5.078947368,-2.440619621,-4.175837321,1.757718121,4.865241636,-2.010660981,-4.34202454,0.719769674,-8.052833078,-4.801691729,-5.24471831,-1.762195122,-0.239726027,-2.243859649,-1.479831933,-0.06763285,4.765886288,0.469107551,2.557446809
1.803807947,-4.674744898,-5.329809725,-3.176470588,-4.337053571,-2.88030303,-4.834834835,-5.349085366,-4.3,-1.523206751,-4.39516129,-4.670854271,-2.434679335,-5.57712766,-4.477631579,3.923753666,0.816176471,-2.295031056,-2.031835206,-4.56625,2.625820569,-3.696015424,3.286265432,2.127862595,2.509287926,-6.851445087,1.799828179,0.223538705,-2.63594041,-1.297916667,2.75216763,2.062009419,-0.296992481,7.899488927,-2.291896869,3.346889952,-2.620517928,-1.365831843,-2.579694323,1.234729494,-3.24339207,-3.199137931,5.193342776,-5.06345733,-9.448648649,3.515473888,2.911468813,-6.109942639,0.552401747,-4.425266904,1.101123596,-0.871747212,-0.580052493,0.83853211,4.638157895,1.034364261,1.128878282,-5.643776824,-2.165137615,-5.194936709,-0.579922027,4.539404553,-1.404867257,-3.921617162,-3.595870206,-2.227685325,-3.684584178,-1.088403042,2.815565032,-4.751958225,-2.853996737,-3.103472222,0.855750487,6.347262248,-0.644214162,-0.217142857,-3.311232449,-2.44143167,-1.257452575,-0.587598425,-1.608333333,-5.078947368,-2.440619621,-5.675837321,1.757718121,4.865241636,-3.510660981,0.15797546,-0.280230326,-8.052833078,-6.301691729,-2.24471831,-0.262195122,1.760273973,-1.243859649,-1.479831933,-0.06763285,2.265886288,-0.530892449,4.557446809
3.303807947,-3.674744898,-6.329809725,-2.176470588,-5.337053571,-2.88030303,-4.834834835,-5.849085366,-4.3,-1.523206751,-3.39516129,-4.670854271,-2.434679335,-6.07712766,-3.477631579,5.923753666,2.816176471,-5.295031056,-7.531835206,-5.56625,2.625820569,-3.696015424,2.286265432,2.127862595,2.509287926,-6.851445087,2.799828179,0.223538705,-2.63594041,-1.297916667,4.25216763,1.062009419,-2.296992481,6.399488927,-0.291896869,3.346889952,-2.620517928,-0.365831843,-1.079694323,4.234729494,-7.24339207,-2.199137931,3.193342776,-4.06345733,-3.448648649,5.015473888,1.411468813,-3.609942639,-0.447598253,-4.425266904,1.101123596,-0.871747212,-0.580052493,0.33853211,4.638157895,1.034364261,1.128878282,-5.643776824,-1.665137615,-3.694936709,-0.579922027,-7.460595447,-0.404867257,-5.421617162,-3.595870206,-2.227685325,-3.684584178,-0.088403042,0.815565032,-0.751958225,-2.853996737,-3.103472222,1.855750487,7.347262248,-0.644214162,-0.217142857,-0.311232449,-2.44143167,-1.757452575,-0.587598425,-3.108333333,-3.578947368,-2.440619621,-6.675837321,1.757718121,4.365241636,-2.010660981,1.15797546,-1.780230326,-8.052833078,-6.801691729,-1.24471831,-1.762195122,3.760273973,-2.243859649,-6.979831933,-0.06763285,2.265886288,-1.530892449,3.557446809
